Type,Price,Amount,Balance,BTC
Sell,36588000.0,0.008680265886695553,9835746.150388319,0.008680265886695553
Sell,37099000.0,0.004340132943347777,9996680.235157546,0.004340132943347777
Sell,37098000.0,0.0021700664716738883,10077145.10856072,0.0021700664716738883
Sell,37065000.0,0.0010850332358369442,10117341.757068574,0.0010850332358369442
Sell,37140000.0,0.0005425166179184721,10137480.749724472,0.0005425166179184721
Sell,36864000.0,0.00027125830895923604,10147475.416192794,0.00027125830895923604
Sell,36847000.0,0.00013562915447961802,10152470.444884177,0.00013562915447961802
Sell,36852000.0,6.781457723980901e-05,10154968.298133219,6.781457723980901e-05
Sell,36926000.0,3.3907288619904505e-05,10156219.732642528,3.3907288619904505e-05
Buy,36674000.0,0.006920700856791209,9902282.981044767,0.006954608145411114
Sell,36755000.0,0.003477304072705557,10030027.388081465,0.003477304072705557
Sell,36818000.0,0.0017386520363527785,10094009.071910564,0.0017386520363527785
Sell,36856000.0,0.0008693260181763892,10126032.93169661,0.0008693260181763892
Sell,36915000.0,0.0004346630090881946,10142070.493884612,0.0004346630090881946
Sell,36952000.0,0.0002173315045440973,10150097.312223647,0.0002173315045440973
Sell,36650000.0,0.00010866575227204865,10154077.920744507,0.00010866575227204865
Sell,36668000.0,5.433287613602433e-05,10156069.202507712,5.433287613602433e-05
Sell,36713000.0,2.7166438068012163e-05,10157066.065267783,2.7166438068012163e-05
Sell,36757000.0,1.3583219034006082e-05,10157565.094010625,1.3583219034006082e-05
Sell,36960000.0,6.791609517003041e-06,10157815.98638943,6.791609517003041e-06
Sell,36635000.0,3.3958047585015204e-06,10157940.329494104,3.3958047585015204e-06
Sell,36684000.0,1.6979023792507602e-06,10158002.584202059,1.6979023792507602e-06
Sell,36645000.0,8.489511896253801e-07,10158033.678463494,8.489511896253801e-07
Sell,36711000.0,4.2447559481269005e-07,10158049.253595594,4.2447559481269005e-07
Sell,36710000.0,2.1223779740634503e-07,10158057.040949512,2.1223779740634503e-07
Sell,36798000.0,1.0611889870317251e-07,10158060.943960264,1.0611889870317251e-07
Sell,37840000.0,5.305944935158626e-08,10158062.950725943,5.305944935158626e-08
Sell,37840000.0,2.652972467579313e-08,10158063.954108782,2.652972467579313e-08
Sell,37838000.0,1.3264862337896564e-08,10158064.455773685,1.3264862337896564e-08
Sell,37934000.0,6.632431168948282e-09,10158064.707242532,6.632431168948282e-09
Sell,37973000.0,3.316215584474141e-09,10158064.833106223,3.316215584474141e-09
Sell,37968000.0,1.6581077922370705e-09,10158064.896029783,1.6581077922370705e-09
Sell,38028000.0,8.290538961185353e-10,10158064.927541282,8.290538961185353e-10
Sell,38074000.0,4.1452694805926763e-10,10158064.943316089,4.1452694805926763e-10
Buy,37203000.0,0.006822693012886788,9904113.319345677,0.006822693427413737
Buy,36948000.0,0.0068697804524853094,9650161.695375266,0.013692473879899046
Buy,36830000.0,0.006891790609786239,9396210.071404854,0.020584264489685283
Buy,36629000.0,0.006929609002659838,9142258.447434442,0.02751387349234512
Sell,37944000.0,0.01375693674617256,9663990.658727266,0.01375693674617256
Sell,37991000.0,0.00687846837308628,9925179.890743205,0.00687846837308628
Sell,38019000.0,0.00343923418654314,10055870.75715912,0.00343923418654314
Sell,38424000.0,0.00171961709327157,10121912.287067391,0.00171961709327157
Buy,37006000.0,0.006877976212840323,9867258.572477728,0.008597593306111893
Buy,36842000.0,0.006908593120144644,9612604.857888065,0.015506186426256539
Sell,38966000.0,0.007753093213128269,9914560.83451575,0.007753093213128269
Sell,39035000.0,0.0038765466065641347,10065806.170804588,0.0038765466065641347
Sell,39252000.0,0.0019382733032820673,10141849.233953165,0.0019382733032820673
Sell,39514000.0,0.0009691366516410337,10180124.552373283,0.0009691366516410337
Buy,39353000.0,0.0064882989524798805,9924662.792816564,0.007457435604120914
Buy,38965000.0,0.006552907190477114,9669201.033259846,0.014010342794598028
Buy,38965000.0,0.006552907190477114,9413739.273703128,0.02056324998507514
Buy,38697000.0,0.006598290014133932,9158277.51414641,0.027161539999209075
Buy,38555000.0,0.00662259184741125,8902815.754589692,0.033784131846620324
Buy,38377000.0,0.0066533087181629815,8647353.995032974,0.04043744056478331
Buy,38125000.0,0.006697285998083692,8391892.235476255,0.047134726562867
Buy,37972000.0,0.00672427127032921,8136430.475919536,0.053858997833196205
Buy,37765000.0,0.006761128787950239,7880968.716362817,0.06062012662114644
Sell,38909000.0,0.03031006331057322,9059713.302587235,0.03031006331057322
Sell,38936000.0,0.01515503165528661,9649494.57696121,0.01515503165528661
Sell,38893000.0,0.007577515827643305,9944059.5438842,0.007577515827643305
Sell,38956000.0,0.0037887579138216527,10091580.59974839,0.0037887579138216527
Buy,38501000.0,0.006644782167386632,9835621.86215304,0.010433540081208285
Buy,38310000.0,0.006677910681977361,9579663.12455769,0.017111450763185647
Buy,38049000.0,0.006723718316553725,9323704.386962341,0.02383516907973937
Buy,37926000.0,0.006745524395574348,9067745.649366992,0.030580693475313718
Sell,39208000.0,0.015290346737656859,9666949.812299596,0.015290346737656859
Sell,39207000.0,0.0076451733688284295,9966544.252415117,0.0076451733688284295
Buy,38833000.0,0.006605360426898883,9709909.973818054,0.014250533795727313
Sell,39162000.0,0.007125266897863657,9988810.156221064,0.007125266897863657
Sell,39158000.0,0.0035626334489318283,10128246.00401404,0.0035626334489318283
Buy,38812000.0,0.006610166480196647,9871563.881523402,0.010172799929128475
Sell,38946000.0,0.005086399964564238,10069559.76707681,0.005086399964564238
